,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
72,frozenset({56}),frozenset({15}),0.03275607464089139,0.027654718754195194,0.000939723452812458,0.02868852459016394,1.037382619767627,3.3863421127181275e-05,1.0010643401855543
73,frozenset({15}),frozenset({56}),0.027654718754195194,0.03275607464089139,0.000939723452812458,0.03398058252427184,1.037382619767627,3.3863421127181275e-05,1.001267581025007
74,frozenset({66}),frozenset({15}),0.030473889112632567,0.027654718754195194,0.0016109544905356424,0.05286343612334802,1.9115521149651427,0.0007682076577792578,1.026615715547896
75,frozenset({15}),frozenset({66}),0.027654718754195194,0.030473889112632567,0.0016109544905356424,0.05825242718446602,1.9115521149651429,0.0007682076577792578,1.0294967981587508
76,frozenset({67}),frozenset({15}),0.019331453886427707,0.027654718754195194,0.0008054772452678212,0.04166666666666667,1.5066747572815535,0.00027087132492896937,1.0146211630391007
77,frozenset({15}),frozenset({67}),0.027654718754195194,0.019331453886427707,0.0008054772452678212,0.02912621359223301,1.5066747572815535,0.00027087132492896937,1.0100886024969793
78,frozenset({16}),frozenset({33}),0.0291314270371862,0.010873942811115585,0.0005369848301785474,0.018433179723502304,1.6951698242020823,0.00022021135856999834,1.007701194413089
79,frozenset({33}),frozenset({16}),0.010873942811115585,0.0291314270371862,0.0005369848301785474,0.04938271604938272,1.6951698242020823,0.00022021135856999834,1.021303304025817
80,frozenset({16}),frozenset({44}),0.0291314270371862,0.03195059739562357,0.000939723452812458,0.03225806451612903,1.0096232041203579,8.956955987338513e-06,1.0003177160245222
81,frozenset({44}),frozenset({16}),0.03195059739562357,0.0291314270371862,0.000939723452812458,0.029411764705882353,1.0096232041203579,8.956955987338513e-06,1.0002888327495658
82,frozenset({16}),frozenset({56}),0.0291314270371862,0.03275607464089139,0.0014767082829910056,0.05069124423963134,1.5475372063156307,0.0005224770845652528,1.0188928728297406
83,frozenset({56}),frozenset({16}),0.03275607464089139,0.0291314270371862,0.0014767082829910056,0.04508196721311476,1.5475372063156307,0.0005224770845652528,1.0167035699696418
84,frozenset({18}),frozenset({54}),0.014767082829910055,0.027117733924016646,0.0005369848301785474,0.03636363636363636,1.340954095409541,0.00013653500716313182,1.0095948044184733
85,frozenset({54}),frozenset({18}),0.027117733924016646,0.014767082829910055,0.0005369848301785474,0.019801980198019802,1.340954095409541,0.00013653500716313182,1.0051366124664554
86,frozenset({20}),frozenset({45}),0.011813666263928045,0.03557524499932877,0.0005369848301785474,0.04545454545454545,1.2777015437392794,0.00011671075849900228,1.0103497433340365
87,frozenset({45}),frozenset({20}),0.03557524499932877,0.011813666263928045,0.0005369848301785474,0.015094339622641508,1.2777015437392794,0.00011671075849900228,1.003330951877621
88,frozenset({29}),frozenset({21}),0.10417505705463821,0.008726003490401396,0.0016109544905356424,0.015463917525773196,1.7721649484536084,0.0007019225790641048,1.006843745145875
89,frozenset({21}),frozenset({29}),0.008726003490401396,0.10417505705463821,0.0016109544905356424,0.18461538461538463,1.7721649484536082,0.0007019225790641048,1.098653231914123
90,frozenset({25}),frozenset({45}),0.008323264867767485,0.03557524499932877,0.0005369848301785474,0.06451612903225806,1.8135118685331708,0.00024088264331341338,1.030936807069683
91,frozenset({45}),frozenset({25}),0.03557524499932877,0.008323264867767485,0.0005369848301785474,0.015094339622641508,1.813511868533171,0.00024088264331341338,1.006874846015485
92,frozenset({25}),frozenset({47}),0.008323264867767485,0.0873942811115586,0.0008054772452678212,0.09677419354838711,1.107328675486844,7.807149564819e-05,1.0103849030550602
93,frozenset({47}),frozenset({25}),0.0873942811115586,0.008323264867767485,0.0008054772452678212,0.009216589861751152,1.107328675486844,7.807149564819e-05,1.0009016349939277
94,frozenset({26}),frozenset({27}),0.05195328231977447,0.014364344207276145,0.000939723452812458,0.01808785529715762,1.2592190103600664,0.00019344862287342356,1.0037921020836424
95,frozenset({27}),frozenset({26}),0.014364344207276145,0.05195328231977447,0.000939723452812458,0.06542056074766354,1.2592190103600664,0.00019344862287342356,1.0144099879178414
96,frozenset({27}),frozenset({29}),0.014364344207276145,0.10417505705463821,0.001879446905624916,0.1308411214953271,1.2559736005395508,0.0003830405282794617,1.0306803107005775
